universite_adi,bolum_adi,puan_2024,tur
ATATÜRK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),324.2956,bilgisayar
OSTİM TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),324.25063,bilgisayar
İSTANBUL BEYKENT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),324.05402,bilgisayar
AFYON KOCATEPE ÜNİVERSİTESİ,Bilgisayar Mühendisliği,324.051,bilgisayar
MERSİN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,323.63893,bilgisayar
İSTİNYE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),323.5928,bilgisayar
ABDULLAH GÜL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),323.45917,bilgisayar
ÇUKUROVA ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),323.31228,bilgisayar
İSTANBUL ESENYURT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),323.28899,bilgisayar
MANİSA CELÂL BAYAR ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),322.81882,bilgisayar
AYDIN ADNAN MENDERES ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),322.71113,bilgisayar
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,Bilgisayar Mühendisliği,322.04065,bilgisayar
KARADENİZ TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,321.90937,bilgisayar
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),321.81762,bilgisayar
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,320.66782,bilgisayar
KONYA TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,320.61871,bilgisayar
İSTANBUL BEYKENT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),320.43036,bilgisayar
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce),320.23948,bilgisayar
İZMİR EKONOMİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%25 İndirimli),319.47937,bilgisayar
ONDOKUZ MAYIS ÜNİVERSİTESİ,Bilgisayar Mühendisliği,319.22748,bilgisayar
ERCİYES ÜNİVERSİTESİ,Bilgisayar Mühendisliği,318.97696,bilgisayar
