universite_adi,bolum_adi,kontenjan,tur
"Türk Hava Kurumu Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Türk Hava Kurumu Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Türk Hava Kurumu Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Türk Hava Kurumu Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","2","yazilim"
"Üsküdar Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Üsküdar Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","2","bilgisayar"
"Üsküdar Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Üsküdar Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","2","yazilim"
"Yaşar Üniversitesi (İzmir)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
"Yaşar Üniversitesi (İzmir)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Yaşar Üniversitesi (İzmir)","Bilgisayar Mühendisliği (İngilizce) (%25 İndirimli)","1","bilgisayar"
"Yaşar Üniversitesi (İzmir)","Yazılım Mühendisliği (İngilizce) (Ücretli)","1","yazilim"
"Yaşar Üniversitesi (İzmir)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Yaşar Üniversitesi (İzmir)","Yazılım Mühendisliği (İngilizce) (%25 İndirimli)","1","yazilim"
"Yeditepe Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
"Yeditepe Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Yeditepe Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Bahçeşehir Kıbrıs Üniversitesi (KKTC-Lefkoşa)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","3","bilgisayar"
"Bahçeşehir Kıbrıs Üniversitesi (KKTC-Lefkoşa)","Yazılım Mühendisliği (İngilizce) (Burslu)","2","yazilim"
"Doğu Akdeniz Üniversitesi (KKTC-Gazimağusa)","Bilgisayar Mühendisliği (Ücretli)","1","bilgisayar"
"Doğu Akdeniz Üniversitesi (KKTC-Gazimağusa)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"Doğu Akdeniz Üniversitesi (KKTC-Gazimağusa)","Bilgisayar Mühendisliği (%50 İndirimli)","1","bilgisayar"
"Doğu Akdeniz Üniversitesi (KKTC-Gazimağusa)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
"Doğu Akdeniz Üniversitesi (KKTC-Gazimağusa)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Doğu Akdeniz Üniversitesi (KKTC-Gazimağusa)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Doğu Akdeniz Üniversitesi (KKTC-Gazimağusa)","Yazılım Mühendisliği (İngilizce) (Ücretli)","1","yazilim"
"Doğu Akdeniz Üniversitesi (KKTC-Gazimağusa)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Doğu Akdeniz Üniversitesi (KKTC-Gazimağusa)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","1","yazilim"
"Girne Amerikan Üniversitesi (KKTC-Girne)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
"Girne Amerikan Üniversitesi (KKTC-Girne)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Girne Amerikan Üniversitesi (KKTC-Girne)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Girne Üniversitesi (KKTC-Girne)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Girne Üniversitesi (KKTC-Girne)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Girne Üniversitesi (KKTC-Girne)","Yazılım Mühendisliği (Burslu)","1","yazilim"
"Girne Üniversitesi (KKTC-Girne)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Lefke Avrupa Üniversitesi (KKTC-Lefke)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Lefke Avrupa Üniversitesi (KKTC-Lefke)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Lefke Avrupa Üniversitesi (KKTC-Lefke)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Lefke Avrupa Üniversitesi (KKTC-Lefke)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","2","yazilim"
"Uluslararası Final Üniversitesi (KKTC-Girne)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Uluslararası Final Üniversitesi (KKTC-Girne)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Uluslararası Final Üniversitesi (KKTC-Girne)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Uluslararası Final Üniversitesi (KKTC-Girne)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","1","yazilim"
"Uluslararası Kıbrıs Üniversitesi (KKTC-Lefkoşa)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Uluslararası Kıbrıs Üniversitesi (KKTC-Lefkoşa)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Uluslararası Kıbrıs Üniversitesi (KKTC-Lefkoşa)","Yazılım Mühendisliği (İngilizce) (Ücretli)","1","yazilim"
"Uluslararası Kıbrıs Üniversitesi (KKTC-Lefkoşa)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Uluslararası Kıbrıs Üniversitesi (KKTC-Lefkoşa)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","1","yazilim"
