universite_adi,bolum_adi,kontenjan,tur
"Samsun Üniversitesi","Yazılım Mühendisliği","3","yazilim"
"Selçuk Üniversitesi (Konya)","Bilgisayar Mühendisliği","3","bilgisayar"
"Siirt Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Sivas Bilim ve Teknoloji Üniversitesi","Bilgisayar Mühendisliği (İngilizce)","2","bilgisayar"
"Sivas Cumhuriyet Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Süleyman Demirel Üniversitesi (Isparta)","Bilgisayar Mühendisliği","3","bilgisayar"
"Şırnak Üniversitesi","Bilgisayar Mühendisliği","2","bilgisayar"
"Tarsus Üniversitesi (Mersin)","Bilgisayar Mühendisliği","3","bilgisayar"
"Tekirdağ Namık Kemal Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Tokat Gaziosmanpaşa Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Trakya Üniversitesi (Edirne)","Bilgisayar Mühendisliği","3","bilgisayar"
"Türk-Alman Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (Almanca)","1","bilgisayar"
"Van Yüzüncü Yıl Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Yalova Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Yıldız Teknik Üniversitesi (İstanbul)","Bilgisayar Mühendisliği","2","bilgisayar"
"Yozgat Bozok Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Zonguldak Bülent Ecevit Üniversitesi","Bilgisayar Mühendisliği","3","bilgisayar"
"Acıbadem Mehmet Ali Aydınlar Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Acıbadem Mehmet Ali Aydınlar Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","2","bilgisayar"
"Alanya Üniversitesi (Antalya)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Alanya Üniversitesi (Antalya)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Altınbaş Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Altınbaş Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","2","bilgisayar"
"Altınbaş Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Altınbaş Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","2","yazilim"
"Ankara Bilim Üniversitesi (Ankara)","Bilgisayar Mühendisliği (Ücretli)","1","bilgisayar"
"Ankara Bilim Üniversitesi (Ankara)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"Ankara Bilim Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","2","bilgisayar"
"Ankara Bilim Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Ankara Bilim Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (Ücretli)","2","yazilim"
"Ankara Bilim Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Ankara Medipol Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Ankara Medipol Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (%25 İndirimli)","2","bilgisayar"
"Antalya Belek Üniversitesi (Antalya)","Yazılım Mühendisliği (Burslu)","1","yazilim"
"Antalya Belek Üniversitesi (Antalya)","Yazılım Mühendisliği (%50 İndirimli)","1","yazilim"
"Atılım Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Atılım Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","2","bilgisayar"
"Atılım Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Atılım Üniversitesi (Ankara)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","2","yazilim"
"Avrasya Üniversitesi (Trabzon)","Bilgisayar Mühendisliği (Ücretli)","1","bilgisayar"
"Avrasya Üniversitesi (Trabzon)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"Bahçeşehir Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
"Bahçeşehir Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Bahçeşehir Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Bahçeşehir Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Ücretli)","1","yazilim"
"Bahçeşehir Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (Burslu)","1","yazilim"
"Bahçeşehir Üniversitesi (İstanbul)","Yazılım Mühendisliği (İngilizce) (%50 İndirimli)","1","yazilim"
"Başkent Üniversitesi (Ankara)","Bilgisayar Mühendisliği (Ücretli)","1","bilgisayar"
"Başkent Üniversitesi (Ankara)","Bilgisayar Mühendisliği (Burslu)","1","bilgisayar"
"Başkent Üniversitesi (Ankara)","Bilgisayar Mühendisliği (%25 İndirimli)","1","bilgisayar"
"Başkent Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Ücretli)","1","bilgisayar"
"Başkent Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Başkent Üniversitesi (Ankara)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","1","bilgisayar"
"Beykoz Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (Burslu)","1","bilgisayar"
"Beykoz Üniversitesi (İstanbul)","Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli)","2","bilgisayar"
"Beykoz Üniversitesi (İstanbul)","Yazılım Mühendisliği (Burslu)","1","yazilim"
"Beykoz Üniversitesi (İstanbul)","Yazılım Mühendisliği (%50 İndirimli)","1","yazilim"
